2002	pers.2579	22043242	23370857	318	3.06
2013	pers.2024	22043242	23369361	316	3.0567
2017	pers.2032	22043242	23370857	318	3.06
2020	pers.2902	22043242	23374027	321	3.0671
2032	pers.2571	22043242	23370857	318	3.06
2048	pers.2479	22043242	23372074	319	3.0627
2056	pers.2073	22062353	23369645	293	3.0116
2056	pers.2210	22062353	23369645	293	3.0116
2056	pers.2596	22062353	23369645	293	3.0116
2065	pers.2168	22043242	23362462	315	3.0414
2073	pers.2619	22043242	23369645	317	3.0573
2084	pers.2269	22043242	23374027	321	3.0671
2084	pers.2666	22043242	23374027	321	3.0671
2102	pers.2324	22043242	23373507	320	3.0659
2109	pers.2146	22043242	23374027	321	3.0671
2109	pers.2220	22043242	23374027	321	3.0671
2109	pers.2334	22043242	23374027	321	3.0671
2109	pers.2577	22043242	23374027	321	3.0671
2109	pers.2675	22043242	23374027	321	3.0671
2119	pers.2684	22043242	23379059	322	3.0782
2138	pers.2324	22043242	23373507	320	3.0659
2139	pers.2651	22043242	23372074	319	3.0627
2143	pers.2196	22043242	23372074	319	3.0627
2143	pers.2324	22043242	23373507	320	3.0659
2145	pers.2375	22043242	23391496	324	3.1058
2154	pers.2506	22043242	23373507	320	3.0659
2154	pers.2853	22043242	23373507	320	3.0659
2159	pers.2198	22043242	23373507	320	3.0659
2168	pers.2341	22043242	23362462	315	3.0414
2181	pers.2984	22043242	23373507	320	3.0659
2198	pers.2603	22043242	23373507	320	3.0659
2198	pers.2604	22043242	23373507	320	3.0659
2202	pers.2429	22043242	23382279	323	3.0854
2206	pers.2694	22043242	23373507	320	3.0659
2206	pers.2988	22043242	23373507	320	3.0659
2210	pers.2619	22043242	23369645	317	3.0573
2211	pers.2825	22043242	23373507	320	3.0659
2224	pers.2807	22069140	23373507	295	3.004
2234	pers.2399	22043242	23382279	323	3.0854
2234	pers.2963	22043242	23369645	317	3.0573
2241	pers.2684	22043242	23379059	322	3.0782
2268	pers.2999	22043242	23369645	317	3.0573
2271	pers.2843	22043242	23369645	317	3.0573
2278	pers.2978	22043242	23374027	321	3.0671
2297	pers.2903	22043242	23362462	315	3.0414
2313	pers.2408	22043242	23372074	319	3.0627
2324	pers.2343	22043242	23373507	320	3.0659
2324	pers.2799	22043242	23373507	320	3.0659
2354	pers.2829	22043242	23373507	320	3.0659
2364	pers.2869	22043242	23362401	314	3.0413
2372	pers.2433	22043242	23379059	322	3.0782
2373	pers.2869	22043242	23362462	315	3.0414
2399	pers.2963	22043242	23369645	317	3.0573
2403	pers.2497	22043242	23373507	320	3.0659
2403	pers.2952	22043242	23373507	320	3.0659
2408	pers.2630	22043242	23372074	319	3.0627
2421	pers.2666	22043242	23373507	320	3.0659
2468	pers.2778	22043242	23344582	312	3.0017
2482	pers.2869	22043242	23362401	314	3.0413
2484	pers.2681	22043242	23374027	321	3.0671
2485	pers.2807	22069140	23373507	295	3.004
2491	pers.2996	22043242	23374027	321	3.0671
